transfer_id,transfer_code,from_store_id,deposit_ids,total_items,total_quantity,transfer_date,confirm_date,photo_url,confirm_photo_url,status,notes,confirmed_by,created_by,created_at
76886515-9592-49b9-b64a-ea66547530d4,TRF-2026-0002,6d7187d5-0e1f-4321-9f88-8106ad9c1aba,"[""4abf296a-8758-4211-93a2-e1666d4390b3"",""DEP-20251213220746-25T8"",""33d13c96-6c8b-4f55-b3d2-ab2ce576286e"",""46c4513f-553d-48c0-8cb8-2505bd994a62"",""DEP-20251217031511-WGLV"",""DEP-20251217031347-EJ3H"",""daf4ff03-3fdc-42d9-a6cb-ee32252a5e23"",""5c01aa99-82d1-483b-9d33-ac927dd689a7"",""a87bf565-6053-49b5-a1b3-f1ae99e22914"",""5b4b20ca-be27-4600-9c46-72e92f4f0b4b"",""26f46309-fac2-4413-84e8-fec5a5aa3b80"",""ea9ef454-9b98-4613-9bd1-a9e9ce7fd183"",""e8c84332-6e6d-4478-8a04-17e377485f9a"",""5d0ed3e1-3669-4919-9c57-db852ee0d726"",""f82c0009-4955-4112-acda-1b915875b65f"",""21ab72f9-000e-41c1-85ea-fb6db5eeed0b"",""5536f3fe-85a3-4200-b0d1-d9c77e8d6ab8"",""eb9d347f-8a75-4c6a-b9a7-66e37b0024c1"",""DEP-20251220030815-2AD8"",""2cc7ed1a-2e1e-4b28-ae6f-2806fc460ee6"",""6eadc12a-7ea0-4f76-af25-f23edc379062"",""7a4713a0-ebec-4045-9422-f6954106abc9"",""39b8cc36-9357-4e3f-8022-934532d9383b"",""DEP-20251221035608-6WS7"",""DEP-20251221035506-QAYP"",""db27938f-ed49-4b62-b40c-1e4e02bb0194"",""116043a2-346e-440d-87fa-4d182df4f6d0"",""fc67c568-c3e0-4a43-bbfd-a440c8507b48"",""18e63e70-99ee-4ecf-bf49-77fb1c55db7e"",""efe9b90b-bf5e-4ab5-ab9c-e7b222c9ca02"",""56ffa220-899a-4a54-b0df-f82f80912445"",""2b5bb449-d65a-43f8-8c05-a821b970ad55"",""359347a3-fb18-4055-84ff-fa13c3732cf2"",""933abd63-4c0a-4f99-9316-ace63c2dc616"",""DEP-20251227014218-1YVO"",""8ab5edd0-e538-499f-b178-a66a7deea348"",""b7b715a4-83d3-48cf-9e82-75654f18bf0d"",""DEP-20251227035229-YP49"",""cb4a90a9-0086-46f4-ba5c-696e2d340e87""]",39,39,"27/1/2026, 19:20:04",28/1/2026,,,confirmed,"วันที่ 12/1 25 ชื่อปีเตอร์เทสระบบมี grey goose 1 ขวดบอมเบย์ 1 ขวด
วันที่ 16/1 26 พนักงานฝากซ้ำมา 3 ขวดโดยที่จริงมี 1 ขวดครับ
วันที่ 16/1/26 ลูกค้าชื่อชายเฮนเนสซี่ vsop ไม่มีของครับ
วันที่ 18/1/26 ลูกค้าชื่อมาโก้เป็นเหล้า grey goose 1.75 ไม่มีของครับ
วันที่ 18/1/26 ลูกค้าชื่อ เฮนดริก เป็นเหล้า Belvedere ไม่มีของครับ
วันที่ 19/1/26 ลูกค้าชื่อแซมปีเตอร์ขอต่ออีก 1 เดือนครับเหล้าเป็นแชมเปญ dom perrigno 
วันที่ 25/1/26 ลูกค้าชื่อทิม เหล้าเป็น Jose silver ไม่มีของครับ
วันที่ 25/1/26 ลูกค้าชื่อLhage เหล้าเป็น Grey goose ไม่มีของครับวันที่ 25/1/26 ลูกค้าชื่อวาวาเปิด 1 ขวด  grey goose แต่พนักงานฝาก2รอบ
ที่จริงแล้วมีแค่ขวดเดียวครับ
วันที่ 27/1/26 มีเหลือ 4 ขวดผมยังไม่ expire ครับเพราะอาจจะมีลูกค้ามาครับ
",Book,chai,"27/1/2026, 19:20:04"
142074f6-d459-4a4e-9cff-517a710c8a32,TRF-2026-0003,6d7187d5-0e1f-4321-9f88-8106ad9c1aba,"[""DEP-20251228024605-QT0X"",""DEP-20251228005310-UHIB"",""DEP-20251228005247-JGM7"",""DEP-20251228040638-SR61"",""b9a7c6ad-b10b-48b5-9ef4-dbef14a1db8d"",""DEP-20251229015726-COU6"",""8134e0bc-e62a-475b-8abb-aa39e2d54824"",""DEP-20251230013054-SDAY"",""43f1bcf8-0a95-4d68-b6a6-920ff16bfb17"",""4d17f4cd-47c6-4a14-acb8-240b835f99ad"",""DEP-20251231012313-FAY3"",""7ad369cb-33c8-4d64-9a44-67c9297634f3"",""DEP-20251231024459-L9E4"",""DEP-20251231024727-ZNE2"",""DEP-20260101025809-ER9K"",""DEP-20260101040217-4EWZ"",""2ff9b40d-2efd-4df0-ac30-55606a72939d"",""3cbc7907-1f34-4dcb-bf4d-e2c2f7795cc1"",""DEP-20260102015152-H6AH"",""dc9617d8-dbe1-4607-82fb-a3d0a4adf848"",""d056a380-04a0-4dbf-b6a7-60dd1db7d882"",""DEP-20260103012313-CTIX"",""DEP-20260103030151-WMN9"",""DEP-20260103030124-65V0"",""7697cbe8-6fff-4e42-99d8-689cfce34f11"",""DEP-20260103024452-QZVS"",""986c4dfa-e0eb-46c4-9e84-cbf632c5d3ef"",""DEP-20260104021850-DKK4"",""29b65110-ab36-4040-a6c9-100495c1fe85"",""5b73dc16-a26e-4e48-83ca-d30b2b7039ae"",""DEP-20260106023342-CPBZ"",""DEP-20260107021457-7MCR"",""8ed9d29f-fe19-49b7-8cf1-0c7d5136b661"",""772179a3-2ac0-49be-a692-04619e331f12"",""fc5bc73c-743e-4b30-b1da-04665d31aa37"",""2638b4ed-4336-432e-bf09-091d3a11e9b5"",""DEP-20260109010659-0RWZ"",""DEP-20260109031749-KRF2"",""ee9daac1-d4fc-430b-ac25-925e1a75c489"",""652e8b63-440d-4cbe-b2bc-cc7cd7cdad57"",""e6331a11-807e-436a-8b58-e7dfa4260e82"",""27e0af56-9c6a-425f-8c2e-e4e4b98bf574"",""5d0ae04e-f7b4-4ad7-adad-9f3e7683aff3"",""DEP-20260110032749-NMGL"",""73683bcc-08ca-453e-8f0e-36f33f6f387d"",""82e084fa-eddb-41af-8e70-7f86b3b709e0"",""db7e8c18-ddeb-4339-b3e6-021af444cf25"",""26c21178-9bac-45e4-a2ff-23f6e5fa928d"",""86c11401-5824-47b0-81bd-ea669a19109a"",""1d16d783-45be-4026-823e-02021f628583"",""282d5e18-813a-4b55-81b6-fd654312f74c"",""860d4267-f517-4872-b20b-a0f7fe34cc8f"",""515d98b4-9e26-40df-9939-20cecfde7bbb""]",53,54,"13/2/2026, 20:18:03",,https://i.ibb.co/fWSgZ19/77bfcb442cc8.jpg,,pending,ส่งตามจำนวนครับ,,chai,"13/2/2026, 20:18:03"
