product_id,product_code,barcode,product_name,category,unit,cost_price,selling_price,min_stock,image_url,active,count_status
84fabadc-a97c-455d-b60e-aa152a645ecc,M000172,,Fermet Branca,MAT-Aperitif,bottle(700),"1,168.23",0,0,,FALSE,excluded
5e1d83d2-e6a1-47f0-9ca6-44ab2ad21e9a,M0100,,1757 Rosso,MAT-Aperitif,bottle(1000),"1,144.00",0,0,,TRUE,excluded
42468138-6340-48e6-8c4c-4cc4b3eb4fe9,M0104,,Campari,MAT-Aperitif,bottle(750),"1,209.90",0,0,,TRUE,excluded
050c6d49-b858-486e-981a-e8e0f4bd43dd,M0111,,1757 Extra Dry,MAT-Aperitif,bottle(1000),"1,144.00",0,0,,TRUE,excluded
7e094402-db1d-48d7-909e-e0858a2b1d26,M0131,,Jagermeister,MAT-Aperitif,bottle(700),990.01,0,0,,FALSE,excluded
8ecf9332-a368-4060-9fbc-517651c9846f,M0132,,SAMBUCA,MAT-Aperitif,bottle(750),821.03,0,0,,FALSE,excluded
8cc28f6e-5c2a-4445-afdd-29c1149f7a36,M0133,,Aperol,MAT-Aperitif,bottle(700),"1,218.98",0,0,,TRUE,excluded
13faa41b-19d3-4d04-80e1-6cbdab491775,M0164,,LIllet,MAT-Aperitif,bottle(750),0,0,0,,FALSE,excluded
e97b2710-9e4a-4130-8cfd-a9d1ade6a426,M0165,,ST german,MAT-Aperitif,Bottle(700MI),"1,470.00",0,0,,FALSE,excluded
d794a040-2bb5-4e4f-8222-40da54cd1afd,M0166,,Lafee Absinthe,MAT-Aperitif,Bottle(700MI),0,0,0,,FALSE,excluded
42d70f30-e4b2-4c93-8cc9-579743652fa4,M0066,,Singha,MAT-Beer,bottle(320),32.42,0,0,,FALSE,excluded
9ca6716a-8169-4275-966d-911c93bbb0f8,M0117,,Ginger Beer,MAT-Beer,bottle(200),0.26,0,0,,FALSE,excluded
77679fbc-8bb1-45aa-8ea4-ee31459116f3,M0126,,Singha Draft Beer,MAT-Beer,Tank (30L),"3,225.00",0,0,,TRUE,excluded
9e518e82-6549-476f-a2c1-910bc8d3a41a,M0127,,Asahi Draft Beer,MAT-Beer,ถัง(15L.),0,0,0,,FALSE,excluded
9b599591-afae-4554-9ce9-4fc5736668b9,M0128,,Carlsberg Draft Beer,MAT-Beer,ถัง(22.9L.),0,0,0,,FALSE,excluded
eca2a007-b469-4b2e-8f1c-87ab056bfa45,M1121,,Asahi Btl,MAT-Beer,Bottle(330),39.17,0,0,,FALSE,excluded
8582b43d-0053-45a0-bf7e-fd3fa90ceed2,M1123,,Singha can,MAT-Beer,Can(320),0,0,0,,FALSE,excluded
c8a25e30-1bad-4010-8623-602bb01a108d,M1124,,Kirin,MAT-Beer,ขวด,75,0,0,,TRUE,active
6665094d-b84b-4516-8bb9-c687b84886c6,M1125,,Peroni,MAT-Beer,ขวด,45.05,0,0,,TRUE,active
81758abb-77d4-46c3-bc29-b65438753b06,M1126,,Corona,MAT-Beer,ขวด,75,0,0,,TRUE,active
5eccfb93-a71e-4295-85ef-4b2c8ef10af3,M1127,,Paulaner Oktoberfest,MAT-Beer,Tank (30L),"9,000.00",0,0,,TRUE,excluded
92a52ff0-7356-4283-ae40-fee76afd7202,M1128,,Paulaner Weissbier,MAT-Beer,Tank (30L),"9,000.00",0,0,,TRUE,excluded
e9fea268-0587-49c2-8516-8d9ca3a96f9d,M1129,,Stella Draft,MAT-Beer,Tank (20L),"4,590.00",0,0,,TRUE,active
39a5d3e7-fbea-4ba0-9f04-b5bc607327d7,M1130,,Leffe Draft,MAT-Beer,Tank (20L),"3,142.00",0,0,,TRUE,excluded
6e3adb69-4837-4f1a-8db8-abf0c7f229c3,M1131,,Hoegaarden,MAT-Beer,Tank (20L),"5,616.00",0,0,,TRUE,active
6fabb255-d5f4-4f12-8d00-9952b0ae9b3e,M0101,,Angostura,MAT-Bitter,bottle(200),"1,190.00",0,0,,TRUE,excluded
fa97fe26-d7e9-4e09-ad42-3e6984480e70,M0028,,Jim Beam,MAT-Bourbon,bottle(700),635.53,0,0,,TRUE,active
81933942-8644-4747-a018-dc48b952121a,M0029,,Bulliet Bourbon,MAT-Bourbon,bottle(700),"1,327.97",0,0,,TRUE,active
398290f0-f277-47fe-87e1-071d1e8f6a89,M0030,,Wild Turkey,MAT-Bourbon,bottle(750),"1,420.58",0,0,,FALSE,excluded
b81f6265-cb94-493c-b007-89e62a9b24e9,M0031,,Makers Mark,MAT-Bourbon,bottle(750),"1,420.58",0,0,,TRUE,active
457b0f75-cf70-4701-947b-3db34d349bdf,M0032,,Woodford Reserve,MAT-Bourbon,bottle(750),2.85,0,0,,FALSE,excluded
af5b360b-1c12-4938-a7b0-47bb0db8298d,M0033,,Martell VSOP,MAT-Brandy,bottle(700),"2,785.02",0,0,,TRUE,active
d6ce227a-5830-4994-93c5-036a851a15c1,M0034,,Hennessy VSOP,MAT-Brandy,bottle(700),"2,850.47",0,0,,TRUE,active
